"Last name", "First name", "SSN",        "Test1", "Test2", "Test3", "Test4", "Final", "Grade"
"Alfalfa",   "Aloysius",   "123-45-6789", 40.0,    90.0,   100.0,    83.0,    49.0,   "D-"
"Alfred",    "University", "123-12-1234", 41.0,    97.0,    96.0,    97.0,    48.0,   "D+"
"Gerty",     "Gramma",     "567-89-0123", 41.0,    80.0,    60.0,    40.0,    44.0,   "C"
"Android",   "Electric",   "087-65-4321", 42.0,    23.0,    36.0,    45.0,    47.0,   "B-"
"Bumpkin",   "Fred",       "456-78-9012", 43.0,    78.0,    88.0,    77.0,    45.0,   "A-"
"Rubble",    "Betty",      "234-56-7890", 44.0,    90.0,    80.0,    90.0,    46.0,   "C-"
"Noshow",    "Cecil",      "345-67-8901", 45.0,    11.0,    -1.0,     4.0,    43.0,   "F"
"Buff",      "Bif",        "632-79-9939", 46.0,    20.0,    30.0,    40.0,    50.0,   "B+"
"Airpump",   "Andrew",     "223-45-6789", 49.0     15.0,    90.0,   100.0,    83.0,   "A"
"Backus",    "Jim",        "143-12-1234", 48.0,    41.0,    97.0,    96.0,    97.0,   "A+"
"Carnivore", "Art",        "565-89-0123", 44.0,    14.0,    23.0,    36.0,    45.0,   "C+"
"Elephant",  "Ima",        "456-71-9012", 45.0,    51.0,    78.0,    88.0,    77.0,   "B-"
"Franklin",  "Benny",      "234-56-2890", 50.0,    51.0,    90.0,    80.0,    90.0,   "B-"
"George",    "Boy",        "345-67-3901", 40.0,    80.0,    11.0,    -1.0,     4.0,   "B"
"Heffalump", "Harvey",     "632-79-9439", 30.0,    18.0,    20.0,    30.0,    40.0,   "C"
"Zebra",     "Zack",       "823-45-6789", 20.0,    90.0,    100.0,   83.0,    49.0,   "A"
"Yak",       "Yvonne",     "923-12-1234", 10.0,    97.0,    96.0,    97.0,    48.0,   "A+"
"Xylophone", "Xena",      "967-89-0123", 25.0,     80.0 ,   60.0,   40.0,    44.0,   "B+"
"Walrus",    "Wendy",      "787-65-4321", 35.0,    23.0,    36.0,    45.0,    47.0,   "C-"
"Vulture",   "Vince",      "656-78-9012", 45.0,    78.0,    88.0,    77.0,    45.0,   "D"
"Uakari",    "Ulysses",    "734-56-7890", 55.0,    90.0,    80.0,    90.0,    46.0,   "B+"
"Tiger",     "Tony",       "845-67-8901", 65.0,    71.0,   -51.0,    44.0,  43.0,   "A-"
"Snake",     "Sam",        "932-79-9939", 75.0,    20.0,    30.0,    40.0,    50.0,   "A"
"Rabbit",    "Ralph",      "723-45-6789", 85.0,    20.0,    90.0,    100.0,   83.0,   "B+"
"Quail",     "Quincy",     "813-12-1234", 95.0,    51.0,    97.0,    96.0,    97.0,   "A+"
"Penguin",   "Perry",      "965-89-0123", 55.0,    71.0,    80.0,    60.0,    40.0,   "B-"
"Ostrich",   "Olive",      "987-75-4321", 65.0,    81.0,    23.0,    36.0,    45.0,   "A-"
"Nightingale","Nina",      "856-71-9012", 75.0,    81.0,    78.0,    88.0,    77.0,   "B+"
"Henry" , "Ford",          "888-33-8909" ,    ,    44.0,   78.0,    88.0,    77.0,   "B+"
